PM2.5,NO2,CO,Humidity,Label
91.99,130.7,1.71,93.47,Red
105.22,109.21,1.3,40.87,Red
32.87,93.99,3.13,32.73,Red
69.13,118.56,0.78,74.06,Red
96.31,49.17,3.96,72.85,Red
41.36,36.53,2.61,59.03,Red
152.77,39.1,1.78,80.4,Red
82.22,113.75,4.53,80.81,Red
115.48,37.66,3.48,69.0,Red
69.45,77.47,2.61,85.8,Red
77.21,16.75,5.21,54.55,Red
10.0,147.56,4.69,51.64,Red
113.5,61.7,5.0,47.35,Red
42.77,25.31,1.73,31.16,Amber
5.87,140.65,2.44,63.61,Red
119.7,145.94,3.95,33.57,Red
134.37,65.39,4.53,29.09,Red
61.42,32.09,1.01,53.34,Amber
83.14,38.66,2.5,25.08,Red
141.03,102.07,4.95,51.4,Red
79.26,129.97,1.73,46.48,Red
111.85,40.62,2.2,81.38,Red
30.41,124.53,4.58,77.45,Red
135.15,146.31,0.99,87.5,Red
73.24,129.44,2.86,79.15,Red
87.96,116.15,3.86,69.57,Red
142.38,93.94,1.32,66.45,Red
144.75,132.12,0.78,90.67,Red
126.32,54.82,1.37,80.28,Red
103.17,80.48,1.32,80.28,Red
88.23,57.28,0.44,55.98,Red
66.1,126.82,2.08,92.64,Red
78.49,40.05,2.67,57.96,Red
169.75,80.31,4.26,51.42,Red
110.36,80.01,0.89,29.77,Red
87.84,38.87,0.32,75.98,Red
155.64,65.35,3.11,34.45,Red
